product_id,quantity
99a4788cb24856965c36a24e339b6058,439
aca2eb7d00ea1a7b8ebd4e68314663af,429
422879e10f46682990de24d770e7f83d,340
d1c427060a0f73f6b889a5c7c61f2ac4,318
53b36df67ebb7c41585e8d54d6772e08,302
389d119b48cf3043d311335e499d9c6b,291
368c6c730842d78016ad823897a372db,277
53759a2ecddad2bb87a079a1f1519f73,272
154e7e31ebfa092203795c972e5804a6,267
2b4609f8948be18874494203496bc318,257
